Gender;Age;Region;Attention to Desing;Role to Desing;Important aspects;Positive emotions;User Decisions;Aspect ;Positive color;Negative color;Color of education site;Reaction
Мужской;27-30;Центральный;Иногда;Крайне важную;Интерактивность элементов;Минималистичный и сдержанный;Никогда;Более интуитивная навигация;Зеленый;Серый;Красный;Нейтрально
Женский;18-21;Центральный;Постоянно;Неважную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Сибирский;Иногда;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Качество изображения;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;22-26;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Голубой;Голубой;Положительно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Быстрая загрузка страниц;Желтый;Зеленый;Красный;Нейтрально
Женский;22-26;Центральный;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Голубой;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Улучшенная читаемость текста;Желтый;Желтый;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Зеленый;Красный;Желтый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Зеленый;Зеленый;Серый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Серый;Зеленый;Красный;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Красный;Нейтрально
Женский;18-21;Центральный;Иногда;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Красный;Зеленый;Положительно
Женский;18-21;Приволжский;Постоянно;Важную;Соотношение пропорций;Яркий и креативный;Почти всегда;Более интуитивная навигация;Красный;Серый;Красный;Положительно
Мужской;18-21;Северо-Западный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;36 и старше;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Красный;Голубой;Нейтрально
Мужской;18-21;Южный;Постоянно;Важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Иногда;Умеренную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Желтый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Больше визуальных элементов;Зеленый;Зеленый;Голубой;Нейтрально
Мужской;18-21;Южный;Постоянно;Важную;Визуальные элементы;Яркий и креативный;Почти всегда;Быстрая загрузка страниц;Голубой;Красный;Серый;Нейтрально
Женский;18-21;Уральский;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Красный;Зеленый;Желтый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Больше визуальных элементов;Голубой;Зеленый;Зеленый;Отрицательно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Серый;Красный;Зеленый;Нейтрально
Мужской;36 и старше;Сибирский;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Быстрая загрузка страниц;Желтый;Голубой;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Красный;Красный;Зеленый;Нейтрально
Мужской;27-30;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Серый;Голубой;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Редко;Быстрая загрузка страниц;Красный;Серый;Зеленый;Положительно
Мужской;22-26;Сибирский;Постоянно;Важную;Качество изображения;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Зеленый;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Соотношение пропорций;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Красный;Зеленый;Зеленый;Отрицательно
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Красный;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Визуальные элементы;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Зеленый;Красный;Зеленый;Положительно
Мужской;18-21;Северо-Кавказский;Иногда;Крайне важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Серый;Красный;Красный;Отрицательно
Женский;18-21;Центральный;Постоянно;Умеренную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Зеленый;Зеленый;Отрицательно
Женский;31-35;Центральный;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Серый;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Женский;22-26;Центральный;Постоянно;Крайне важную;Соотношение пропорций;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Соотношение пропорций;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Желтый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Улучшенная читаемость текста;Зеленый;Красный;Зеленый;Положительно
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Быстрая загрузка страниц;Серый;Зеленый;Желтый;Нейтрально
Мужской;18-21;Южный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Улучшенная читаемость текста;Зеленый;Голубой;Зеленый;Положительно
Мужской;18-21;Центральный;Иногда;Крайне важную;Визуальные элементы;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Желтый;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Зеленый;Голубой;Зеленый;Серый;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Улучшенная читаемость текста;Голубой;Голубой;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Желтый;Серый;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Уральский;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Красный;Серый;Желтый;Нейтрально
Женский;22-26;Центральный;Постоянно;Крайне важную;Визуальные элементы;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Желтый;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Визуальные элементы;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Мужской;36 и старше;Уральский;Иногда;Крайне важную;Цветовая гамма и оформление;Яркий и креативный;Иногда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Женский;22-26;Центральный;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Красный;Зеленый;Нейтрально
Женский;22-26;Уральский;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Красный;Красный;Отрицательно
Женский;27-30;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Больше визуальных элементов;Голубой;Зеленый;Зеленый;Отрицательно
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Желтый;Голубой;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Умеренную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Умеренную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Женский;14-17;Центральный;Постоянно;Крайне важную;Визуальные элементы;Яркий и креативный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Красный;Нейтрально
Мужской;18-21;Приволжский;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Зеленый;Красный;Зеленый;Положительно
Женский;22-26;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Серый;Серый;Зеленый;Нейтрально
Женский;18-21;Северо-Западный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Зеленый;Красный;Нейтрально
Мужской;27-30;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Желтый;Зеленый;Красный;Нейтрально
Женский;18-21;Центральный;Иногда;Умеренную;Удобство навигации;Минималистичный и сдержанный;Редко;Быстрая загрузка страниц;Зеленый;Зеленый;Зеленый;Положительно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Зеленый;Красный;Желтый;Нейтрально
Мужской;27-30;Центральный;Постоянно;Важную;Цветовая гамма и оформление;Яркий и креативный;Почти всегда;Более интуитивная навигация;Желтый;Зеленый;Красный;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Улучшенная читаемость текста;Голубой;Зеленый;Красный;Нейтрально
Женский;36 и старше;Северо-Западный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Желтый;Красный;Нейтрально
Мужской;18-21;Не из России;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Быстрая загрузка страниц;Серый;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Улучшенная читаемость текста;Голубой;Красный;Желтый;Положительно
Мужской;18-21;Центральный;Иногда;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Желтый;Красный;Нейтрально
Мужской;27-30;Уральский;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Голубой;Красный;Серый;Положительно
Мужской;22-26;Центральный;Постоянно;Крайне важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Голубой;Желтый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Больше визуальных элементов;Желтый;Серый;Зеленый;Нейтрально
Мужской;14-17;Центральный;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Серый;Нейтрально
Женский;22-26;Южный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Женский;22-26;Уральский;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Больше визуальных элементов;Серый;Зеленый;Красный;Нейтрально
Женский;27-30;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Мужской;18-21;Южный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Красный;Желтый;Зеленый;Нейтрально
Женский;18-21;Центральный;Иногда;Крайне важную;Качество изображения;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Желтый;Зеленый;Голубой;Нейтрально
Мужской;22-26;Центральный;Иногда;Крайне важную;Визуальные элементы;Яркий и креативный;Почти всегда;Более интуитивная навигация;Серый;Желтый;Красный;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Больше визуальных элементов;Зеленый;Желтый;Зеленый;Положительно
Женский;31-35;Дальневосточный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Серый;Зеленый;Нейтрально
Мужской;18-21;Приволжский;Постоянно;Важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Голубой;Зеленый;Желтый;Положительно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Голубой;Желтый;Красный;Нейтрально
Мужской;14-17;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Почти всегда;Улучшенная читаемость текста;Желтый;Красный;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Редко;Более интуитивная навигация;Серый;Зеленый;Красный;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Яркий и креативный;Иногда;Зеленый;Зеленый;Серый;Красный;Нейтрально
Мужской;18-21;Центральный;Постоянно;Умеренную;Цветовая гамма и оформление;Минималистичный и сдержанный;Почти всегда;Улучшенная читаемость текста;Зеленый;Зеленый;Серый;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Желтый;Серый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Красный;Зеленый;Нейтрально
Женский;22-26;Южный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Красный;Красный;Зеленый;Нейтрально
Женский;22-26;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Красный;Голубой;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Голубой;Красный;Красный;Отрицательно
Женский;18-21;Приволжский;Постоянно;Важную;Удобство навигации;Яркий и креативный;Редко;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Женский;18-21;Центральный;Иногда;Умеренную;Цветовая гамма и оформление;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Зеленый;Красный;Голубой;Нейтрально
Женский;18-21;Сибирский;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Желтый;Красный;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Интерактивность элементов;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Желтый;Нейтрально
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Больше визуальных элементов;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Красный;Желтый;Голубой;Нейтрально
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Зеленый;Серый;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Качество изображения;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Желтый;Зеленый;Нейтрально
Женский;27-30;Центральный;Иногда;Крайне важную;Визуальные элементы;Яркий и креативный;Иногда;Более интуитивная навигация;Желтый;Желтый;Зеленый;Нейтрально
Женский;18-21;Уральский;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Голубой;Серый;Красный;Нейтрально
Женский;22-26;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Почти всегда;Более интуитивная навигация;Серый;Зеленый;Голубой;Нейтрально
Женский;27-30;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Серый;Красный;Нейтрально
Мужской;18-21;Северо-Западный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Красный;Серый;Нейтрально
Мужской;22-26;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Желтый;Желтый;Серый;Нейтрально
Мужской;18-21;Приволжский;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Северо-Кавказский;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Серый;Зеленый;Красный;Нейтрально
Женский;18-21;Приволжский;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Желтый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Красный;Серый;Серый;Отрицательно
Мужской;18-21;Центральный;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Желтый;Зеленый;Серый;Нейтрально
Женский;18-21;Приволжский;Постоянно;Крайне важную;Цветовая гамма и оформление;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Красный;Желтый;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Визуальные элементы;Яркий и креативный;Иногда;Быстрая загрузка страниц;Желтый;Серый;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Интерактивность элементов;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Женский;31-35;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Зеленый;Зеленый;Красный;Зеленый;Положительно
Мужской;14-17;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Красный;Голубой;Желтый;Нейтрально
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Желтый;Голубой;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Соотношение пропорций;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Красный;Зеленый;Голубой;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Красный;Нейтрально
Женский;18-21;Приволжский;Постоянно;Умеренную;Удобство навигации;Яркий и креативный;Никогда;Более интуитивная навигация;Голубой;Красный;Зеленый;Нейтрально
Женский;18-21;Не из России;Иногда;Крайне важную;Соотношение пропорций;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Красный;Зеленый;Зеленый;Отрицательно
Женский;27-30;Не из России;Иногда;Крайне важную;Интерактивность элементов;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;22-26;Приволжский;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Зеленый;Положительно
Женский;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Красный;Красный;Зеленый;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Цветовая гамма и оформление;Минималистичный и сдержанный;Редко;Более интуитивная навигация;Зеленый;Желтый;Красный;Отрицательно
Женский;31-35;Центральный;Постоянно;Важную;Удобство навигации;Яркий и креативный;Иногда;Быстрая загрузка страниц;Голубой;Серый;Зеленый;Нейтрально
Мужской;18-21;Северо-Западный;Постоянно;Важную;Интерактивность элементов;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Желтый;Зеленый;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Желтый;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Южный;Постоянно;Важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Быстрая загрузка страниц;Красный;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Сибирский;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Голубой;Серый;Голубой;Положительно
Женский;18-21;Центральный;Иногда;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Никогда;Более интуитивная навигация;Серый;Зеленый;Зеленый;Отрицательно
Женский;18-21;Центральный;Постоянно;Важную;Цветовая гамма и оформление;Яркий и креативный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Желтый;Положительно
Мужской;22-26;Уральский;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Зеленый;Зеленый;Желтый;Нейтрально
Мужской;18-21;Приволжский;Постоянно;Важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Желтый;Желтый;Голубой;Нейтрально
Женский;18-21;Центральный;Постоянно;Важную;Визуальные элементы;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Зеленый;Желтый;Зеленый;Положительно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Красный;Зеленый;Зеленый;Отрицательно
Женский;22-26;Центральный;Постоянно;Крайне важную;Удобство навигации;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Голубой;Красный;Нейтрально
Мужской;18-21;Сибирский;Иногда;Важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Быстрая загрузка страниц;Серый;Красный;Красный;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Удобство навигации;Минималистичный и сдержанный;Иногда;Более интуитивная навигация;Голубой;Зеленый;Зеленый;Отрицательно
Мужской;18-21;Центральный;Постоянно;Важную;Визуальные элементы;Яркий и креативный;Иногда;Более интуитивная навигация;Зеленый;Зеленый;Голубой;Нейтрально
Мужской;18-21;Центральный;Постоянно;Крайне важную;Удобство навигации;Минималистичный и сдержанный;Почти всегда;Более интуитивная навигация;Голубой;Зеленый;Голубой;Положительно
